product,category,brand,price,stock,sales,revenue,competitorPrice,month
Sony Accessories 1,Accessories,Sony,183.69,22,65,11939.85,174.98,Feb
JBL Accessories 2,Accessories,JBL,1458.82,264,230,335528.6,1400.22,Sep
Sony Accessories 3,Accessories,Sony,781.63,264,211,164923.93,815.26,Apr
Apple Wearable 4,Wearable,Apple,1409.73,199,422,594906.06,1473.04,Feb
Apple Wearable 5,Wearable,Apple,1827.88,199,400,731152,1720.76,Dec
Fitbit Wearable 6,Wearable,Fitbit,937.85,29,59,55333.15,1037.74,Nov
Lenovo Laptop 7,Laptop,Lenovo,648.8,148,201,130408.8,662.44,May
Dell Laptop 8,Laptop,Dell,1005.96,200,378,380252.88,1125.05,Oct
Boat Accessories 9,Accessories,Boat,1763.71,21,411,724884.81,1993.18,Feb
Samsung Wearable 10,Wearable,Samsung,400.58,225,197,78914.26,373.79,May
Sony Accessories 11,Accessories,Sony,1398.58,121,110,153843.8,1400.72,Aug
Samsung Tablet 12,Tablet,Samsung,490.18,268,319,156367.42,554.19,Sep
Noise Wearable 13,Wearable,Noise,839.62,272,47,39462.14,901.24,May
Dell Laptop 14,Laptop,Dell,1704.29,294,302,514695.58,1684.34,May
Samsung Wearable 15,Wearable,Samsung,1733.2,110,382,662082.4,1864.59,Oct
JBL Accessories 16,Accessories,JBL,1507.31,166,348,524543.88,1430.72,Mar
Xiaomi Mobile 17,Mobile,Xiaomi,1026.74,81,106,108834.44,960.77,Sep
Samsung Tablet 18,Tablet,Samsung,1801.76,163,300,540528,1769.8,Apr
Xiaomi Mobile 19,Mobile,Xiaomi,1288.88,35,17,21910.96,1280.74,May
Boat Accessories 20,Accessories,Boat,1441.76,118,460,663209.6,1364.08,Oct
Lenovo Tablet 21,Tablet,Lenovo,1868.02,116,221,412832.42,1764.66,Jun
Apple Tablet 22,Tablet,Apple,1987,154,289,574243,2120.6,Feb
Lenovo Tablet 23,Tablet,Lenovo,1584.61,251,462,732089.82,1569.32,Sep
HP Laptop 24,Laptop,HP,115.85,95,360,41706,109.37,Jul
Samsung Tablet 25,Tablet,Samsung,713.64,168,223,159141.72,803.47,Apr
Boat Accessories 26,Accessories,Boat,1950.6,146,190,370614,2037.27,Sep
